Company Name,Ticker,Financials,,,,,,,,,Valuation,,,,,,,Growth,,,,,Risk,,,,,,News,,,Outlook,,,,,,,,Buffett,,,,,,Technical,,,Sentiment,,,Extras,,,,Composites,,,,
,,Score,Gross Margins (norm),Operating Margins (norm),Net Margins (norm),Revenue Growth (norm),Earnings Growth (norm),FCF Margin (norm),Debt/Equity (lower-better norm),,Score,Trailing P/E (lower-better norm),Forward P/E (lower-better norm),P/B (lower-better norm),EV/EBITDA (lower-better norm),Dividend Yield (norm),,Score,Earnings Growth (norm),Revenue Growth (norm),Return on Equity (norm),,Score,Debt/Equity (lower-better norm),Current Ratio (norm),Quick Ratio (norm),Beta (lower-better norm),,Score,Target Premium (norm),,Score,P/E (lower-better norm),P/B (lower-better norm),Dividend Yield (norm),FCF Margin (norm),EPS Growth (norm),Debt/Equity (lower-better norm),,Score,Dividend Yield (norm),Debt/Equity (lower-better norm),Return on Equity (norm),FCF Margin (norm),,Score,Change % (norm),,Score,Recommendation Mean (lower-better norm),,FCF Yield,ROIC/ROE,Interest Coverage,Composite_ST_LR,Composite_ST,Composite_LT_LR,Composite_LT
,,Score agregado [0..1] do grupo,Normalized [0..1], higher better; gross margins; good ~20%-60%,Normalized [0..1], higher better; operating margins; good ~5%-30%,Normalized [0..1], higher better; net margins; good ~2%-25%,Normalized [0..1] of revenue growth ×4; higher better,Normalized [0..1] of earnings growth ×4; higher better,Normalized [0..1] of free cash flow margin ×4; higher better,Normalized [0..1], lower D/E is better; range ~0.15–2.0,,Score agregado [0..1] do grupo,Normalized [0..1], lower better; range ~6–35,Normalized [0..1], lower better; range ~6–35,Normalized [0..1], lower better; range ~0.7–6,Normalized [0..1], lower better; range ~4–20,Normalized [0..1] of dividend yield ×4; higher better,,Score agregado [0..1] do grupo,Normalized [0..1] of earnings growth ×4; higher better,Normalized [0..1] of revenue growth ×4; higher better,Normalized [0..1], higher better; range ~5%–25%,,Score agregado [0..1] do grupo,Normalized [0..1], lower D/E is better; range ~0.15–2.0,Normalized [0..1], higher better; range ~1.2–3.0,Normalized [0..1], higher better; range ~1.0–2.5,Normalized [0..1], lower beta is better; range ~0.8–2.0,,Score agregado [0..1] do grupo,Normalized [0..1] of (targetMeanPrice - price)/price; higher better; range ~5%–30%,,Score agregado [0..1] do grupo,Normalized [0..1], lower better; range ~6–35; uses Fwd/Trailing,Normalized [0..1], lower better; range ~0.7–6,Normalized [0..1] of dividend yield ×4; higher better,Normalized [0..1] of free cash flow margin ×4; higher better,Normalized [0..1] of earnings growth ×4; higher better,Normalized [0..1], lower D/E is better; range ~0.15–2.0,,Score agregado [0..1] do grupo,Normalized [0..1] of dividend yield ×4; higher better,Normalized [0..1], lower D/E is better; range ~0.15–2.0,Normalized [0..1], higher better; range ~10%–30%,Normalized [0..1] of free cash flow margin ×4; higher better,,Score agregado [0..1] do grupo,Normalized [0..1] of recent change %; higher better; range ~-2%–+5%,,Score agregado [0..1] do grupo,Normalized [0..1], lower better; range ~1.0–4.0,,Free cash flow divided by market cap; raw ratio,Return on assets or equity; raw value,Ability to cover interest expenses; raw value,Short-term (low risk) weighted composite,Short-term momentum/valuation composite,Long-term (low risk) weighted composite,Long-term growth/quality composite
"GDS Holdings Limited","GDS","-0.06755","0.06464999999999999","0.37179999999999996","","0.496","","0","0","","2.0710625","","1","1","0.07106250000000003","","","0.496","","0.496","0","","1.9867777777777778","0","0.4427777777777778","0.544","1","","1","1","","0.5714285714285714","1","1","","0","","0","","0","","0","0","0","","1","1","","0","","","-0.12171401371260235","0.01075","","1.2822318154761905","1.1307109027777777","0.7448927876984128","0.734112867063492"
"Jack in the Box Inc.","JACK","0.7907727769086749","0.22525000000000006","0.40319999999999995","","0","","0.16232277690867494","","","1.9051874999999998","","1","","0.5091875","0.396","","0","","0","","","0.6591666666666667","","0","0","0.6591666666666667","","0.9493565804274462","0.9493565804274462","","0.570650192006849","1","","0.396","0.16232277690867494","","","","0.5583227769086749","0.396","","","0.16232277690867494","","0.6482128428571428","0.6482128428571428","","0.41666666666666663","0.41666666666666663","","0.17990810360823967","0.052950002","","0.9540877338681341","0.9328755138385132","0.8514890048337894","0.6798116631406388"
"Match Group, Inc.","MTCH","2.746664778124363","1","0.7642800000000001","","0","0.028","0.9543847781243628","","","1.5688524097931031","","0.9199274137931034","","0.554125","0.094799996","","0.028","0.028","0","","","0.5150000000000001","","0","0","0.5150000000000001","","0.5912428393524289","0.5912428393524289","","0.5579847008812401","0.9199274137931034","","0.094799996","0.9543847781243628","0.028","","","1.0491847741243627","0.094799996","","","0.9543847781243628","","0.5900514285714284","0.5900514285714284","","0.5454533333333333","0.5454533333333333","","0.10652314707134596","0.12905","","1.2122496710184152","1.0666095307840804","1.4804219585254892","1.0596762346825224"
"Moderna, Inc.","MRNA","-1","0","0","","0","","0","0","","2.923264830188679","","1","0.9232648301886792","1","","","0","","0","0","","2","0","1","1","0","","1","1","","0.5516966706199461","1","0.9232648301886792","","0","","0","","0","","0","0","0","","0.23779342857142854","0.23779342857142854","","0.38888999999999996","0.38888999999999996","","-0.27531498307751195","-0.14774999","","1.2097652174663072","0.9783748932614555","0.5936593915902966","0.548829058652291"
"Eos Energy Enterprises, Inc.","EOSE","1","0","0","","1","","0","","","2","","1","","1","","","1","","1","","","0.8297777777777778","","0.5711111111111112","0.2586666666666666","0","","0","0","","0.5499999999999999","1","","","0","","","","0","","","","0","","1","1","","0.5555566666666667","0.5555566666666667","","-0.017636471159286665","-0.43508998","","1.1539333333333335","1.0829777777777778","0.8209555555555554","0.9429777777777779"
"AnaptysBio, Inc.","ANAB","1","0","0","","1","","0","","","2","","1","","1","","","1","","1","","","3","","1","1","1","","1","1","","0.5499999999999999","1","","","0","","","","0","","","","0","","0.7820928285714286","0.7820928285714286","","0.8333333333333334","0.8333333333333334","","-0.08344407006309897","-0.14118","","1.7832092828571426","1.4064185657142858","1.2550000000000001","1.1600000000000001"
"The RealReal, Inc.","REAL","1.56","1","0","","0.56","","0","","","2","","1","","1","","","0.56","","0.56","","","0","","0","0","0","","0.05671119842829092","0.05671119842829092","","0.5499999999999999","1","","","0","","","","0","","","","0","","1","1","","0.7142866666666667","0.7142866666666667","","-0.007123978719504111","-0.07005","","0.9950000000000001","1.0265066797642435","0.823","0.8620000000000001"
"Amgen Inc.","AMGN","3.3759999999999994","1","1","","0.376","1","1","0","","1.3242038965517242","","0.7395538965517241","0","0.45425000000000004","0.1304","","2.376","1","0.376","1","","1.058888888888889","0","0.05888888888888894","0","1","","0.0632440621740395","0.0632440621740395","","0.5383498572413794","0.7395538965517241","0","0.1304","1","1","0","","2.1304","0.1304","0","1","1","","0.3977327142857143","0.3977327142857143","","0.5268833333333334","0.5268833333333334","","0.06620518017230398","0.07507","","1.5363258979573071","1.3887730152100686","2.009643347984674","1.8944294448199233"
"Analog Devices, Inc.","ADI","3.9260400000000004","1","0.94204","","0.984","1","1","0","","0.9010387359453481","","0.34041524137931034","0.4930234905660378","0","0.067600004","","2.0166","1","0.984","0.03259999999999999","","1.8409444444444445","0","0.6244444444444444","0.4573333333333333","0.7591666666666668","","0.37504154770528847","0.37504154770528847","","0.5317475818853351","0.34041524137931034","0.4930234905660378","0.067600004","1","1","0","","1.067600004","0.067600004","0","0","1","","0.8785214285714285","0.8785214285714285","","0.7523799999999999","0.7523799999999999","","0.029283151251717824","0.03387","","1.804607918365347","1.5327106463008606","2.0012314584692246","1.8217177716133137"
"MKS Inc.","MKSI","2.0786693195470614","0.6835","0.37552","","0.388","1","0.6316493195470614","0","","1.501575666856994","","0.6657204482758621","0.47139271698113205","0.33806250000000004","0.0264000016","","1.6959","1","0.388","0.30789999999999995","","1.4122222222222223","0","0.9922222222222223","0.39333333333333337","0.026666666666666727","","0","0","","0.5281740653877646","0.6657204482758621","0.47139271698113205","0.0264000016","0.6316493195470614","1","0","","0.7159493211470613","0.0264000016","0","0.05789999999999997","0.6316493195470614","","1","1","","0.76923","0.76923","","0.06612260390449395","0.03837","","1.4524068538291042","1.28280153686853","1.3630863271626539","1.3833971813524426"
